Rank,Country and (Argentine provinces),Intl. $
1,Qatar,86008
2,Luxembourg,82441
3,Norway,53738
4,Singapore,51226
5,Brunei,50199
6,United States,47440
—,Hong Kong,43847
7,Switzerland,43196
8,Ireland,42110
9,Netherlands,40558
10,Iceland,40471
11,Kuwait,39915
12,Austria,39887
13,Canada,39098
14,United Arab Emirates,38894
15,Sweden,37334
16,Denmark,37304
17,Australia,36918
18,Belgium,36416
19,United Kingdom,36358
20,Finland,36320
21,Germany,35539
22,Bahrain,34662
23,France,34205
24,Japan,34116
25,"China, Republic of (Taiwan)",30912
26,Greece,30681
27,Italy,30631
28,Spain,30589
29,Cyprus,29853
30,Slovenia,29521
31,Israel,28474
32,The Bahamas,27735
33,South Korea,27692
34,New Zealand,27083
-,Santa Cruz,26438
-,Tierra del Fuego,25993
35,Czech Republic,25118
36,Oman,24674
37,Malta,23971
38,Saudi Arabia,23814
—,Neuquén,23380
—,Chubut,22983
39,Portugal,22232
40,Slovakia,22097
41,Seychelles,20829
42,Estonia,20561
43,Trinidad and Tobago,20338
—,Buenos Aires City,20036
44,Hungary,19553
45,Antigua and Barbuda,19340
46,Barbados,18977
47,Lithuania,18977
48,Croatia,18575
49,Equatorial Guinea[1],18058
50,Poland,17537
51,Latvia,17106
52,Russia,15948
—,Río Negro,15046
53,Botswana,14907
—,Buenos Aires,14773
—,San Luis,14649
54,Gabon,14545
55,Mexico,14534
56,Chile,14529
-,Argentina,14408
57,Santa Fe,14216
58,Libya,14192
—,San Juan,14154
59,Malaysia,14081
—,Catamarca,14105
60,Saint Kitts and Nevis,13826
—,Mendoza,13795
—,Córdoba,13708
—,La Pampa,13658
61,Turkey,13139
—,Jujuy,13089
62,Lebanon,13006
63,Venezuela,12806
64,Uruguay,12785
65,Romania,12600
—,Salta,12594
—,Santiago del Estero,12532
—,Entre Ríos,12420
66,Bulgaria,12322
67,Belarus,12313
—,Corrientes,12148
—,Misiones,12099
68,Mauritius,12011
—,Formosa,11616
—,Chaco,11516
69,Grenada,11464
70,Kazakhstan,11434
71,Panama,11362
72,Montenegro,11111
73,Iran,11052
74,Serbia,10810
75,Saint Lucia,10750
76,Costa Rica,10735
—,Tucuman,10811
77,Brazil,10466
—,World[2],10433
—,La Rioja,10414
78,Saint Vincent and the Grenadines,10163
79,South Africa,10136
80,Dominica,10133
81,Macedonia,9164
82,Jamaica,8967
83,Azerbaijan,8634
84,Dominican Republic,8619
85,Peru,8594
86,Thailand,8239
87,Colombia,8229
88,Suriname,8188
89,Tunisia,8002
90,Belize,7954
91,Ecuador,7786
92,Bosnia and Herzegovina,7624
93,El Salvador,7564
94,Ukraine,7342
95,Albania,6897
96,Algeria,6709
97,Namibia,6612
98,Angola,6252
99,Kiribati,6122
100,"China, People's Republic of",5970
101,Egypt,5897
102,Armenia,5792
103,Turkmenistan,5757
104,Swaziland,5749
105,Samoa,5674
106,Jordan,5537
107,Tonga,5382
108,Bhutan,5312
109,Maldives,4967
110,Guatemala,4907
111,Georgia,4869
112,Paraguay,4786
113,Syria,4757
114,Sri Lanka,4589
115,Morocco,4362
116,Bolivia,4345
117,Honduras,4275
118,Vanuatu,4251
119,Fiji,4196
120,Guyana,4029
121,Indonesia,3980
122,Republic of the Congo,3919
123,Mongolia,3547
124,Philippines,3515
125,Iraq,3477
126,Cape Verde,3472
127,Moldova,2984
128,Solomon Islands,2917
129,Vietnam,2794
130,India,2780
131,Nicaragua,2698
132,Uzbekistan,2634
133,Pakistan,2624
134,Yemen,2411
135,Djibouti,2396
136,Timor-Leste,2368
137,Sudan,2309
138,Kyrgyzstan,2185
139,Nigeria,2162
140,Cameroon,2139
141,Laos,2127
142,Papua New Guinea,2108
143,Cambodia,2082
144,Mauritania,2055
145,Tajikistan,2023
146,São Tomé and Príncipe,1752
147,Senegal,1739
148,Kenya,1712
149,Chad,1663
150,Côte d'Ivoire,1643
151,Benin,1608
152,Ghana,1518
153,Zambia,1482
154,Bangladesh,1399
155,The Gambia,1395
156,Tanzania,1353
157,Haiti,1317
158,Lesotho,1305
159,Burkina Faso,1268
160,Comoros,1157
161,Burma,1156
162,Uganda,1147
163,Nepal,1144
164,Mali,1129
165,Rwanda,1043
166,Guinea,1014
167,Madagascar,996
168,Mozambique,903
169,Ethiopia,898
170,Malawi,836
171,Togo,812
172,Afghanistan,760
173,Eritrea,748
174,Central African Republic,740
175,Niger,740
176,Sierra Leone,725
177,Guinea-Bissau,486
178,Burundi,390
179,Liberia,373
180,Democratic Republic of the Congo,330
181,Zimbabwe,268
